age_group,invited,registered,date
50-60,5484,6114,2021-05-26
60-75,5415,5530,2021-05-26
75-,1684,1702,2021-05-26
-18,0,45,2021-05-27
18-30,456,1740,2021-05-27
30-40,832,3043,2021-05-27
40-50,1615,4666,2021-05-27
50-60,5671,6273,2021-05-27
60-75,5365,5449,2021-05-27
75-,1627,1643,2021-05-27
-18,0,52,2021-05-28
18-30,312,1604,2021-05-28
30-40,528,2702,2021-05-28
40-50,1286,4338,2021-05-28
50-60,5560,6172,2021-05-28
60-75,5395,5463,2021-05-28
75-,1653,1671,2021-05-28
-18,0,45,2021-05-29
18-30,176,1264,2021-05-29
30-40,331,2110,2021-05-29
40-50,684,3211,2021-05-29
50-60,4347,4918,2021-05-29
60-75,5892,5981,2021-05-29
75-,1948,1963,2021-05-29
-18,0,43,2021-05-30
18-30,119,1114,2021-05-30
30-40,157,1861,2021-05-30
40-50,459,2850,2021-05-30
50-60,3711,4271,2021-05-30
60-75,5476,5569,2021-05-30
75-,1872,1886,2021-05-30
-18,0,59,2021-05-31
18-30,224,1692,2021-05-31
30-40,356,2846,2021-05-31
40-50,845,4096,2021-05-31
50-60,5543,6225,2021-05-31
60-75,6665,6783,2021-05-31
75-,2136,2151,2021-05-31
-18,0,90,2021-06-01
18-30,314,2259,2021-06-01
30-40,417,3518,2021-06-01
40-50,1212,5843,2021-06-01
50-60,9016,10139,2021-06-01
60-75,8322,8525,2021-06-01
75-,2333,2352,2021-06-01
-18,0,35,2021-06-02
18-30,204,1650,2021-06-02
30-40,332,2803,2021-06-02
40-50,950,4631,2021-06-02
50-60,7546,8355,2021-06-02
60-75,6816,6973,2021-06-02
75-,1879,1893,2021-06-02
-18,0,88,2021-06-03
18-30,291,2077,2021-06-03
30-40,408,3233,2021-06-03
40-50,964,5314,2021-06-03
50-60,8661,9688,2021-06-03
60-75,8124,8300,2021-06-03
75-,2328,2343,2021-06-03
-18,0,71,2021-06-04
18-30,303,2266,2021-06-04
30-40,486,3470,2021-06-04
40-50,1062,5562,2021-06-04
50-60,8612,9615,2021-06-04
60-75,7634,7867,2021-06-04
75-,2172,2197,2021-06-04
-18,0,53,2021-06-05
18-30,246,1873,2021-06-05
30-40,359,2776,2021-06-05
40-50,843,4730,2021-06-05
50-60,7185,8183,2021-06-05
60-75,7212,7409,2021-06-05
75-,1994,2011,2021-06-05
-18,0,76,2021-06-06
18-30,173,1768,2021-06-06
30-40,172,2507,2021-06-06
40-50,624,4413,2021-06-06
50-60,6690,7651,2021-06-06
60-75,6763,6915,2021-06-06
75-,1972,1985,2021-06-06
-18,0,89,2021-06-07
18-30,291,2357,2021-06-07
30-40,453,3629,2021-06-07
40-50,993,6023,2021-06-07
50-60,8742,9802,2021-06-07
60-75,7660,7850,2021-06-07
75-,2210,2231,2021-06-07
-18,0,61,2021-06-08
18-30,304,2078,2021-06-08
30-40,459,3261,2021-06-08
40-50,994,5498,2021-06-08
50-60,7991,8935,2021-06-08
60-75,7018,7201,2021-06-08
75-,1958,1975,2021-06-08
-18,0,59,2021-06-09
18-30,431,2305,2021-06-09
30-40,613,3372,2021-06-09
40-50,1203,5505,2021-06-09
50-60,7272,8158,2021-06-09
60-75,6127,6287,2021-06-09
75-,1791,1803,2021-06-09
-18,0,55,2021-06-10
18-30,419,2055,2021-06-10
30-40,539,3247,2021-06-10
40-50,1098,5379,2021-06-10
50-60,6718,7603,2021-06-10
60-75,5629,5778,2021-06-10
75-,1612,1629,2021-06-10
-18,0,61,2021-06-11
18-30,219,1647,2021-06-11
30-40,284,2609,2021-06-11
40-50,744,4316,2021-06-11
50-60,5921,6716,2021-06-11
60-75,5427,5589,2021-06-11
75-,1601,1621,2021-06-11
-18,0,49,2021-06-12
18-30,153,1439,2021-06-12
30-40,185,2139,2021-06-12
40-50,551,3895,2021-06-12
50-60,5066,6025,2021-06-12
60-75,5175,5369,2021-06-12
75-,1595,1612,2021-06-12
-18,0,59,2021-06-13
18-30,128,1337,2021-06-13
30-40,131,1972,2021-06-13
40-50,489,3787,2021-06-13
50-60,4857,5828,2021-06-13
60-75,4974,5118,2021-06-13
75-,1544,1563,2021-06-13
-18,0,56,2021-06-14
18-30,207,1666,2021-06-14
30-40,283,2809,2021-06-14
40-50,665,4678,2021-06-14
50-60,5593,6699,2021-06-14
60-75,5219,5382,2021-06-14
75-,1626,1645,2021-06-14
-18,0,57,2021-06-15
18-30,161,1355,2021-06-15
30-40,263,2312,2021-06-15
40-50,556,4008,2021-06-15
50-60,4849,5791,2021-06-15
60-75,4943,5078,2021-06-15
75-,1440,1456,2021-06-15
-18,0,58,2021-06-16
18-30,190,1504,2021-06-16
30-40,215,2251,2021-06-16
40-50,564,3871,2021-06-16
50-60,4711,5640,2021-06-16
60-75,4664,4851,2021-06-16
75-,1353,1366,2021-06-16
-18,0,58,2021-06-17
18-30,205,1459,2021-06-17
30-40,217,2256,2021-06-17
40-50,579,3804,2021-06-17
50-60,4643,5533,2021-06-17
60-75,4614,4792,2021-06-17
75-,1357,1364,2021-06-17
-18,0,58,2021-06-18
18-30,253,1568,2021-06-18
30-40,285,2582,2021-06-18
40-50,545,4022,2021-06-18
50-60,4513,5504,2021-06-18
60-75,4721,4929,2021-06-18
75-,1442,1464,2021-06-18
-18,0,78,2021-06-19
18-30,223,1981,2021-06-19
30-40,249,2580,2021-06-19
40-50,518,4359,2021-06-19
50-60,4625,5741,2021-06-19
60-75,4335,4548,2021-06-19
75-,1235,1255,2021-06-19
-18,0,79,2021-06-20
18-30,203,1727,2021-06-20
30-40,186,2530,2021-06-20
40-50,457,4176,2021-06-20
50-60,4395,5442,2021-06-20
60-75,4199,4413,2021-06-20
75-,1165,1177,2021-06-20
-18,0,95,2021-06-21
18-30,365,2440,2021-06-21
30-40,406,3788,2021-06-21
40-50,690,5640,2021-06-21
50-60,5682,7106,2021-06-21
60-75,5847,6144,2021-06-21
75-,1607,1619,2021-06-21
-18,0,90,2021-06-22
18-30,369,2906,2021-06-22
30-40,521,4619,2021-06-22
40-50,798,6485,2021-06-22
50-60,6186,7866,2021-06-22
60-75,6357,6680,2021-06-22
75-,1727,1755,2021-06-22
-18,0,137,2021-06-23
18-30,455,3610,2021-06-23
30-40,557,5644,2021-06-23
40-50,937,7849,2021-06-23
50-60,7057,9089,2021-06-23
60-75,7043,7444,2021-06-23
75-,1956,1973,2021-06-23
-18,0,152,2021-06-24
18-30,493,4722,2021-06-24
30-40,522,7107,2021-06-24
40-50,999,9447,2021-06-24
50-60,7964,10199,2021-06-24
60-75,8193,8621,2021-06-24
75-,2245,2267,2021-06-24
-18,0,87,2021-06-25
18-30,381,4199,2021-06-25
30-40,454,6607,2021-06-25
40-50,852,8449,2021-06-25
50-60,6829,8809,2021-06-25
60-75,7051,7441,2021-06-25
75-,1967,1991,2021-06-25
-18,0,123,2021-06-26
18-30,353,3554,2021-06-26
30-40,419,5319,2021-06-26
40-50,782,7163,2021-06-26
50-60,5897,7683,2021-06-26
60-75,6356,6710,2021-06-26
75-,1881,1906,2021-06-26
-18,0,125,2021-06-27
18-30,298,3606,2021-06-27
30-40,304,5017,2021-06-27
40-50,615,6305,2021-06-27
50-60,5030,6535,2021-06-27
60-75,5298,5597,2021-06-27
75-,1466,1488,2021-06-27
-18,0,177,2021-06-28
18-30,423,4813,2021-06-28
30-40,484,6872,2021-06-28
40-50,839,8480,2021-06-28
50-60,6525,8620,2021-06-28
60-75,6671,7095,2021-06-28
75-,1951,1978,2021-06-28
-18,0,217,2021-06-29
18-30,289,5941,2021-06-29
30-40,331,7576,2021-06-29
40-50,871,8761,2021-06-29
50-60,6327,8879,2021-06-29
60-75,6548,7455,2021-06-29
75-,1934,2029,2021-06-29
-18,0,190,2021-06-30
18-30,205,5846,2021-06-30
30-40,229,7617,2021-06-30
40-50,868,8847,2021-06-30
50-60,6263,9333,2021-06-30
60-75,6118,7540,2021-06-30
75-,1902,2049,2021-06-30
-18,0,207,2021-07-01
18-30,107,5431,2021-07-01
30-40,110,6951,2021-07-01
40-50,821,8271,2021-07-01
50-60,5395,8614,2021-07-01
60-75,5902,7506,2021-07-01
75-,1929,2111,2021-07-01
-18,0,163,2021-07-02
18-30,69,4018,2021-07-02
30-40,96,6046,2021-07-02
40-50,712,7447,2021-07-02
50-60,4663,7662,2021-07-02
60-75,5253,6888,2021-07-02
75-,1912,2113,2021-07-02
-18,0,153,2021-07-03
18-30,80,4076,2021-07-03
30-40,82,5532,2021-07-03
40-50,640,6668,2021-07-03
50-60,4153,6934,2021-07-03
60-75,4733,6358,2021-07-03
75-,1769,1960,2021-07-03
-18,0,196,2021-07-04
18-30,69,5380,2021-07-04
30-40,47,6274,2021-07-04
40-50,617,7337,2021-07-04
50-60,3997,7132,2021-07-04
60-75,3928,5694,2021-07-04
75-,1399,1642,2021-07-04
-18,0,217,2021-07-05
18-30,60,6054,2021-07-05
30-40,82,7377,2021-07-05
40-50,790,8299,2021-07-05
50-60,4209,7963,2021-07-05
60-75,4234,6220,2021-07-05
75-,1519,1789,2021-07-05
-18,0,224,2021-07-06
18-30,93,5172,2021-07-06
30-40,109,6344,2021-07-06
40-50,692,7523,2021-07-06
50-60,3228,6552,2021-07-06
60-75,3650,5423,2021-07-06
75-,1398,1606,2021-07-06
-18,0,262,2021-07-07
18-30,86,6002,2021-07-07
30-40,99,6993,2021-07-07
40-50,718,7931,2021-07-07
50-60,3417,7256,2021-07-07
60-75,3849,5845,2021-07-07
75-,1643,1925,2021-07-07
-18,0,415,2021-07-08
18-30,82,7684,2021-07-08
30-40,87,8233,2021-07-08
40-50,820,8887,2021-07-08
50-60,3155,8289,2021-07-08
60-75,3887,6482,2021-07-08
75-,1719,2057,2021-07-08
-18,0,412,2021-07-09
18-30,106,8112,2021-07-09
30-40,125,8394,2021-07-09
40-50,878,9566,2021-07-09
50-60,2946,8530,2021-07-09
60-75,3288,6409,2021-07-09
75-,1570,1924,2021-07-09
-18,0,468,2021-07-10
18-30,55,7753,2021-07-10
30-40,53,7494,2021-07-10
40-50,756,8563,2021-07-10
50-60,2449,7793,2021-07-10
60-75,2796,5787,2021-07-10
75-,1402,1795,2021-07-10
-18,0,298,2021-07-11
18-30,34,5118,2021-07-11
30-40,19,5592,2021-07-11
40-50,545,7043,2021-07-11
50-60,1863,5914,2021-07-11
60-75,2061,4238,2021-07-11
75-,956,1235,2021-07-11
-18,0,273,2021-07-12
18-30,58,4978,2021-07-12
30-40,58,5790,2021-07-12
40-50,616,6890,2021-07-12
50-60,1867,5736,2021-07-12
60-75,2290,4425,2021-07-12
75-,1043,1311,2021-07-12
-18,0,347,2021-07-13
18-30,49,5166,2021-07-13
30-40,55,5968,2021-07-13
40-50,554,6723,2021-07-13
50-60,1783,5504,2021-07-13
60-75,2148,4228,2021-07-13
75-,1032,1311,2021-07-13
-18,0,322,2021-07-14
18-30,79,5373,2021-07-14
30-40,69,6175,2021-07-14
40-50,470,6596,2021-07-14
50-60,1758,5373,2021-07-14
60-75,1922,3939,2021-07-14
75-,884,1259,2021-07-14
-18,0,336,2021-07-15
18-30,47,4552,2021-07-15
30-40,68,5614,2021-07-15
40-50,461,6293,2021-07-15
50-60,1369,4973,2021-07-15
60-75,1398,3506,2021-07-15
75-,578,1201,2021-07-15
-18,0,342,2021-07-16
18-30,48,5489,2021-07-16
30-40,85,5781,2021-07-16
40-50,405,6515,2021-07-16
50-60,564,4904,2021-07-16
60-75,591,3590,2021-07-16
75-,234,1177,2021-07-16
-18,0,440,2021-07-17
18-30,69,12809,2021-07-17
30-40,67,7722,2021-07-17
40-50,281,6977,2021-07-17
50-60,611,5507,2021-07-17
60-75,847,3974,2021-07-17
75-,319,1362,2021-07-17
-18,0,836,2021-07-18
18-30,71,28355,2021-07-18
30-40,44,11561,2021-07-18
40-50,348,10290,2021-07-18
50-60,832,8034,2021-07-18
60-75,745,4453,2021-07-18
75-,288,1496,2021-07-18
-18,0,1282,2021-07-19
18-30,514,45566,2021-07-19
30-40,166,16665,2021-07-19
40-50,332,10586,2021-07-19
50-60,241,6183,2021-07-19
60-75,259,3176,2021-07-19
75-,122,975,2021-07-19
-18,0,805,2021-07-20
18-30,678,27460,2021-07-20
30-40,369,10993,2021-07-20
40-50,920,8240,2021-07-20
50-60,289,4776,2021-07-20
60-75,143,2367,2021-07-20
75-,62,716,2021-07-20
-18,0,65,2021-07-21
18-30,1,2072,2021-07-21
30-40,1,1023,2021-07-21
40-50,4,876,2021-07-21
50-60,8,536,2021-07-21
60-75,9,294,2021-07-21
75-,9,99,2021-07-21
