age_group,invited,registered,date
30-40,46,418,2021-02-14
40-50,107,490,2021-02-14
50-60,639,697,2021-02-14
60-75,1122,1123,2021-02-14
75-,395,395,2021-02-14
-18,0,34,2021-02-15
18-30,53,300,2021-02-15
30-40,90,446,2021-02-15
40-50,135,505,2021-02-15
50-60,604,649,2021-02-15
60-75,1138,1138,2021-02-15
75-,406,406,2021-02-15
-18,0,5,2021-02-16
18-30,34,216,2021-02-16
30-40,44,239,2021-02-16
40-50,80,303,2021-02-16
50-60,327,348,2021-02-16
60-75,586,586,2021-02-16
75-,218,218,2021-02-16
-18,0,17,2021-02-17
18-30,33,196,2021-02-17
30-40,44,304,2021-02-17
40-50,60,287,2021-02-17
50-60,414,456,2021-02-17
60-75,637,637,2021-02-17
75-,231,231,2021-02-17
-18,0,28,2021-02-18
18-30,43,224,2021-02-18
30-40,69,340,2021-02-18
40-50,81,366,2021-02-18
50-60,463,503,2021-02-18
60-75,787,787,2021-02-18
75-,256,256,2021-02-18
-18,0,20,2021-02-19
18-30,39,304,2021-02-19
30-40,68,423,2021-02-19
40-50,100,482,2021-02-19
50-60,489,531,2021-02-19
60-75,844,846,2021-02-19
75-,270,270,2021-02-19
-18,0,11,2021-02-20
18-30,24,215,2021-02-20
30-40,33,311,2021-02-20
40-50,65,329,2021-02-20
50-60,451,493,2021-02-20
60-75,666,668,2021-02-20
75-,229,229,2021-02-20
-18,0,22,2021-02-21
18-30,24,208,2021-02-21
30-40,24,234,2021-02-21
40-50,52,274,2021-02-21
50-60,389,421,2021-02-21
60-75,595,595,2021-02-21
75-,190,190,2021-02-21
-18,0,24,2021-02-22
18-30,30,195,2021-02-22
30-40,34,279,2021-02-22
40-50,58,338,2021-02-22
50-60,376,412,2021-02-22
60-75,588,588,2021-02-22
75-,201,201,2021-02-22
-18,0,13,2021-02-23
18-30,63,256,2021-02-23
30-40,97,370,2021-02-23
40-50,68,326,2021-02-23
50-60,270,284,2021-02-23
60-75,485,486,2021-02-23
75-,155,155,2021-02-23
-18,0,12,2021-02-24
18-30,36,166,2021-02-24
30-40,59,267,2021-02-24
40-50,55,236,2021-02-24
50-60,247,264,2021-02-24
60-75,448,448,2021-02-24
75-,140,140,2021-02-24
-18,0,15,2021-02-25
18-30,24,151,2021-02-25
30-40,58,266,2021-02-25
40-50,56,236,2021-02-25
50-60,257,280,2021-02-25
60-75,408,408,2021-02-25
75-,128,128,2021-02-25
-18,0,16,2021-02-26
18-30,23,136,2021-02-26
30-40,43,208,2021-02-26
40-50,42,228,2021-02-26
50-60,221,241,2021-02-26
60-75,379,380,2021-02-26
75-,125,125,2021-02-26
-18,0,13,2021-02-27
18-30,28,116,2021-02-27
30-40,33,146,2021-02-27
40-50,41,163,2021-02-27
50-60,195,215,2021-02-27
60-75,363,363,2021-02-27
75-,123,123,2021-02-27
-18,0,9,2021-02-28
18-30,19,90,2021-02-28
30-40,12,121,2021-02-28
40-50,30,147,2021-02-28
50-60,190,206,2021-02-28
60-75,324,324,2021-02-28
75-,111,111,2021-02-28
-18,0,24,2021-03-01
18-30,45,219,2021-03-01
30-40,44,360,2021-03-01
40-50,75,359,2021-03-01
50-60,356,383,2021-03-01
60-75,499,499,2021-03-01
75-,191,191,2021-03-01
-18,0,20,2021-03-02
